TEAM_ID|DIVISION|LEAGUE|PREFIX_1|PREFIX_2|TEAM|URL
Colorado Avalanche|Central Division|nhl|col|colorado-avalanche|Colorado Avalanche|http://www.espn.com/nhl/team/_/name/col/colorado-avalanche
Dallas Stars|Central Division|nhl|dal|dallas-stars|Dallas Stars|http://www.espn.com/nhl/team/_/name/dal/dallas-stars
Minnesota Wild|Central Division|nhl|min|minnesota-wild|Minnesota Wild|http://www.espn.com/nhl/team/_/name/min/minnesota-wild
Nashville Predators|Central Division|nhl|nsh|nashville-predators|Nashville Predators|http://www.espn.com/nhl/team/_/name/nsh/nashville-predators
St. Louis Blues|Central Division|nhl|stl|st-louis-blues|St. Louis Blues|http://www.espn.com/nhl/team/_/name/stl/st-louis-blues
Winnipeg Jets|Central Division|nhl|wpg|winnipeg-jets|Winnipeg Jets|http://www.espn.com/nhl/team/_/name/wpg/winnipeg-jets
Anaheim Ducks|Pacific Division|nhl|ana|anaheim-ducks|Anaheim Ducks|http://www.espn.com/nhl/team/_/name/ana/anaheim-ducks
Arizona Coyotes|Pacific Division|nhl|ari|arizona-coyotes|Arizona Coyotes|http://www.espn.com/nhl/team/_/name/ari/arizona-coyotes
Calgary Flames|Pacific Division|nhl|cgy|calgary-flames|Calgary Flames|http://www.espn.com/nhl/team/_/name/cgy/calgary-flames
Edmonton Oilers|Pacific Division|nhl|edm|edmonton-oilers|Edmonton Oilers|http://www.espn.com/nhl/team/_/name/edm/edmonton-oilers
Los Angeles Kings|Pacific Division|nhl|la|los-angeles-kings|Los Angeles Kings|http://www.espn.com/nhl/team/_/name/la/los-angeles-kings
San Jose Sharks|Pacific Division|nhl|sj|san-jose-sharks|San Jose Sharks|http://www.espn.com/nhl/team/_/name/sj/san-jose-sharks
Vancouver Canucks|Pacific Division|nhl|van|vancouver-canucks|Vancouver Canucks|http://www.espn.com/nhl/team/_/name/van/vancouver-canucks
Vegas Golden Knights|Pacific Division|nhl|vgs|vegas-golden-knights|Vegas Golden Knights|http://www.espn.com/nhl/team/_/name/vgs/vegas-golden-knights
Boston Bruins|Atlantic Division|nhl|bos|boston-bruins|Boston Bruins|http://www.espn.com/nhl/team/_/name/bos/boston-bruins
Buffalo Sabres|Atlantic Division|nhl|buf|buffalo-sabres|Buffalo Sabres|http://www.espn.com/nhl/team/_/name/buf/buffalo-sabres
Detroit Red Wings|Atlantic Division|nhl|det|detroit-red-wings|Detroit Red Wings|http://www.espn.com/nhl/team/_/name/det/detroit-red-wings
Florida Panthers|Atlantic Division|nhl|fla|florida-panthers|Florida Panthers|http://www.espn.com/nhl/team/_/name/fla/florida-panthers
Montreal Canadiens|Atlantic Division|nhl|mtl|montreal-canadiens|Montreal Canadiens|http://www.espn.com/nhl/team/_/name/mtl/montreal-canadiens
Ottawa Senators|Atlantic Division|nhl|ott|ottawa-senators|Ottawa Senators|http://www.espn.com/nhl/team/_/name/ott/ottawa-senators
Tampa Bay Lightning|Atlantic Division|nhl|tb|tampa-bay-lightning|Tampa Bay Lightning|http://www.espn.com/nhl/team/_/name/tb/tampa-bay-lightning
Toronto Maple Leafs|Atlantic Division|nhl|tor|toronto-maple-leafs|Toronto Maple Leafs|http://www.espn.com/nhl/team/_/name/tor/toronto-maple-leafs
Carolina Hurricanes|Metropolitan Division|nhl|car|carolina-hurricanes|Carolina Hurricanes|http://www.espn.com/nhl/team/_/name/car/carolina-hurricanes
Columbus Blue Jackets|Metropolitan Division|nhl|cbj|columbus-blue-jackets|Columbus Blue Jackets|http://www.espn.com/nhl/team/_/name/cbj/columbus-blue-jackets
New Jersey Devils|Metropolitan Division|nhl|nj|new-jersey-devils|New Jersey Devils|http://www.espn.com/nhl/team/_/name/nj/new-jersey-devils
New York Islanders|Metropolitan Division|nhl|nyi|new-york-islanders|New York Islanders|http://www.espn.com/nhl/team/_/name/nyi/new-york-islanders
New York Rangers|Metropolitan Division|nhl|nyr|new-york-rangers|New York Rangers|http://www.espn.com/nhl/team/_/name/nyr/new-york-rangers
Philadelphia Flyers|Metropolitan Division|nhl|phi|philadelphia-flyers|Philadelphia Flyers|http://www.espn.com/nhl/team/_/name/phi/philadelphia-flyers
Pittsburgh Penguins|Metropolitan Division|nhl|pit|pittsburgh-penguins|Pittsburgh Penguins|http://www.espn.com/nhl/team/_/name/pit/pittsburgh-penguins
Washington Capitals|Metropolitan Division|nhl|wsh|washington-capitals|Washington Capitals|http://www.espn.com/nhl/team/_/name/wsh/washington-capitals
Dallas Cowboys|NFC East|nfl|dal|dallas-cowboys|Dallas Cowboys|http://www.espn.com/nfl/team/_/name/dal/dallas-cowboys
New York Giants|NFC East|nfl|nyg|new-york-giants|New York Giants|http://www.espn.com/nfl/team/_/name/nyg/new-york-giants
Philadelphia Eagles|NFC East|nfl|phi|philadelphia-eagles|Philadelphia Eagles|http://www.espn.com/nfl/team/_/name/phi/philadelphia-eagles
Washington Redskins|NFC East|nfl|wsh|washington-redskins|Washington Redskins|http://www.espn.com/nfl/team/_/name/wsh/washington-redskins
