TEAM_NAME|TEAM|DIVISION|LEAGUE|PREFIX_2
Campbell|Campbell|Big South|mens-college-basketball|campbell-fighting-camels
Charleston So|Charleston So|Big South|mens-college-basketball|charleston-southern-buccaneers
Gardner-Webb|Gardner-Webb|Big South|mens-college-basketball|gardner-webb-bulldogs
High Point|High Point|Big South|mens-college-basketball|high-point-panthers
Liberty|Liberty|Big South|mens-college-basketball|liberty-flames
Longwood|Longwood|Big South|mens-college-basketball|longwood-lancers
Presbyterian|Presbyterian|Big South|mens-college-basketball|presbyterian-college-blue-hose
Radford|Radford|Big South|mens-college-basketball|radford-highlanders
UNC Asheville|UNC Asheville|Big South|mens-college-basketball|unc-asheville-bulldogs
Winthrop|Winthrop|Big South|mens-college-basketball|winthrop-eagles
Illinois|Illinois|Big Ten|mens-college-basketball|illinois-fighting-illini
Indiana|Indiana|Big Ten|mens-college-basketball|indiana-hoosiers
Iowa|Iowa|Big Ten|mens-college-basketball|iowa-hawkeyes
Maryland|Maryland|Big Ten|mens-college-basketball|maryland-terrapins
Michigan|Michigan|Big Ten|mens-college-basketball|michigan-wolverines
Michigan State|Michigan State|Big Ten|mens-college-basketball|michigan-state-spartans
Minnesota|Minnesota|Big Ten|mens-college-basketball|minnesota-golden-gophers
Nebraska|Nebraska|Big Ten|mens-college-basketball|nebraska-cornhuskers
Northwestern|Northwestern|Big Ten|mens-college-basketball|northwestern-wildcats
OSU|OSU|Big Ten|mens-college-basketball|ohio-state-buckeyes
Penn State|Penn State|Big Ten|mens-college-basketball|penn-state-nittany-lions
Purdue|Purdue|Big Ten|mens-college-basketball|purdue-boilermakers
Rutgers|Rutgers|Big Ten|mens-college-basketball|rutgers-scarlet-knights
Wisconsin|Wisconsin|Big Ten|mens-college-basketball|wisconsin-badgers
Cal Poly|Cal Poly|Big West|mens-college-basketball|cal-poly-mustangs
CSU Fullerton|CSU Fullerton|Big West|mens-college-basketball|cs-fullerton-titans
CSU Northridge|CSU Northridge|Big West|mens-college-basketball|csu-northridge-matadors
Hawai'i|Hawai'i|Big West|mens-college-basketball|hawai'i-rainbow-warriors
Long Beach St|Long Beach St|Big West|mens-college-basketball|long-beach-state-49ers
UC Davis|UC Davis|Big West|mens-college-basketball|uc-davis-aggies
UC Irvine|UC Irvine|Big West|mens-college-basketball|uc-irvine-anteaters
UC Riverside|UC Riverside|Big West|mens-college-basketball|uc-riverside-highlanders
UCSB|UCSB|Big West|mens-college-basketball|uc-santa-barbara-gauchos
Charleston|Charleston|Colonial|mens-college-basketball|charleston-cougars
Delaware|Delaware|Colonial|mens-college-basketball|delaware-blue-hens
Drexel|Drexel|Colonial|mens-college-basketball|drexel-dragons
Elon|Elon|Colonial|mens-college-basketball|elon-phoenix
Hofstra|Hofstra|Colonial|mens-college-basketball|hofstra-pride
JMU|JMU|Colonial|mens-college-basketball|james-madison-dukes
Northeastern|Northeastern|Colonial|mens-college-basketball|northeastern-huskies
Towson|Towson|Colonial|mens-college-basketball|towson-tigers
UNC Wilmington|UNC Wilmington|Colonial|mens-college-basketball|unc-wilmington-seahawks
William & Mary|William & Mary|Colonial|mens-college-basketball|william-%26-mary-tribe
Charlotte|Charlotte|Conference USA|mens-college-basketball|charlotte-49ers
FAU|FAU|Conference USA|mens-college-basketball|florida-atlantic-owls
FIU|FIU|Conference USA|mens-college-basketball|florida-intl-golden-panthers
LA Tech|LA Tech|Conference USA|mens-college-basketball|louisiana-tech-bulldogs
Marshall|Marshall|Conference USA|mens-college-basketball|marshall-thundering-herd
Mid Tennessee|Mid Tennessee|Conference USA|mens-college-basketball|middle-tennessee-blue-raiders
North Texas|North Texas|Conference USA|mens-college-basketball|north-texas-mean-green
Old Dominion|Old Dominion|Conference USA|mens-college-basketball|old-dominion-monarchs
Rice|Rice|Conference USA|mens-college-basketball|rice-owls
Southern Miss|Southern Miss|Conference USA|mens-college-basketball|southern-miss-golden-eagles
UAB|UAB|Conference USA|mens-college-basketball|uab-blazers
